,variable,coefficient,relativity
0,Intercept,5.715184933118513,303.44031428446186
1,Gender_M,0.07157522618123703,1.0741989555472704
2,Area_B,0.07313707231234177,1.0758779998931698
3,Area_C,0.0847067925053367,1.08839789348915
4,Area_D,-0.14788179161163617,0.8625330675599262
5,Area_E,0.09906753274271328,1.104140862701927
6,Area_F,0.28758412737204314,1.3332027462889666
7,Veh_body_CONVT,-0.006868262338871077,0.9931552702680453
8,Veh_body_COUPE,0.24517969151070415,1.277850911536582
9,Veh_body_HBACK,-0.08678366990777485,0.9168754219249904
10,Veh_body_HDTOP,0.015460799529826028,1.0155809360277988
11,Veh_body_MCARA,-0.02017009754908052,0.9800319580941403
12,Veh_body_MIBUS,0.03477342285015752,1.0353850876185857
13,Veh_body_PANVN,-0.08549626489847975,0.9180565720822531
14,Veh_body_RDSTR,-0.009009142613996973,0.9910313181146643
15,Veh_body_SEDAN,-0.12412891317501838,0.8832659689226711
16,Veh_body_STNWG,0.037504617220833286,1.0382167907469542
17,Veh_body_TRUCK,0.012845147937940433,1.012928001224893
18,Veh_body_UTE,-0.047934483704186966,0.9531962349183016
19,Veh_age_2,0.1332723545234788,1.1425611376530609
20,Veh_age_3,0.04768295571032962,1.0488380744835242
21,Veh_age_4,-0.16105777080602543,0.8512428926985921
22,Age_category_2,-0.09194322895567703,0.9121569321768256
23,Age_category_3,-0.20202954705072698,0.8170707855536219
24,Age_category_4,-0.2172721302254415,0.8047109533327744
25,Age_category_5,-0.4690958395031397,0.6255676261927592
26,Age_category_6,-0.3980402385760037,0.671635001482212
